Date,Price,Open,High,Low,Vol.,Change %
12/01/2020,4.9122,4.9030,4.9193,4.8977,26.07K,0.24%
12/02/2020,4.9049,4.9148,4.9167,4.8913,20.78K,-0.15%
12/03/2020,4.9028,4.9067,4.9125,4.8956,27.73K,-0.04%
12/04/2020,4.8882,4.9046,4.9128,4.8871,32.53K,-0.30%
12/07/2020,4.8837,4.8906,4.9023,4.8803,32.03K,-0.09%
12/08/2020,4.8802,4.8859,4.8946,4.8781,31.30K,-0.07%
12/09/2020,4.8905,4.8837,4.9001,4.8805,22.09K,0.21%
12/10/2020,4.8989,4.8932,4.9040,4.8862,21.79K,0.17%
12/11/2020,4.8956,4.9019,4.9088,4.8906,30.64K,-0.07%
12/14/2020,4.9045,4.8986,4.9153,4.8917,17.77K,0.18%
12/15/2020,4.9068,4.9053,4.9151,4.8994,30.69K,0.05%
12/16/2020,4.9145,4.9082,4.9177,4.9016,27.41K,0.16%
12/17/2020,4.9269,4.9152,4.9334,4.9104,18.13K,0.25%
12/18/2020,4.9230,4.9257,4.9349,4.9157,22.03K,-0.08%
12/21/2020,4.9116,4.9155,4.9239,4.8889,37.63K,-0.23%
12/22/2020,4.8957,4.9148,4.9196,4.8920,34.85K,-0.32%
12/23/2020,4.9143,4.8985,4.9205,4.8943,24.72K,0.38%
12/24/2020,4.9120,4.9161,4.9193,4.9075,30.61K,-0.05%
12/25/2020,4.9220,4.9130,4.9269,4.9029,14.36K,0.20%
12/28/2020,4.9118,4.9200,4.9281,4.9101,27.53K,-0.21%
12/29/2020,4.9190,4.9146,4.9232,4.9105,29.83K,0.15%
12/30/2020,4.9273,4.9205,4.9360,4.9174,22.70K,0.17%
12/31/2020,4.9372,4.9305,4.9579,4.9278,15.47K,0.20%
01/01/2021,4.9346,4.9396,4.9396,4.9363,,-0.05%
01/04/2021,4.8907,4.9349,4.9453,4.8885,40.99K,-0.89%
01/05/2021,4.8979,4.8930,4.9067,4.8790,36.59K,0.15%
01/06/2021,4.9019,4.8990,4.9076,4.8913,26.20K,0.08%
01/07/2021,4.8872,4.9043,4.9076,4.8763,21.42K,-0.30%
01/08/2021,4.8838,4.8881,4.8973,4.8735,23.75K,-0.07%
01/11/2021,4.8678,4.8866,4.8866,4.8643,21.61K,-0.33%
01/12/2021,4.8814,4.8682,4.8856,4.8580,25.99K,0.28%
01/13/2021,4.8739,4.8847,4.8878,4.8724,30.57K,-0.15%
01/14/2021,4.8854,4.8744,4.8931,4.8688,31.06K,0.24%
01/15/2021,4.8714,4.8886,4.8921,4.8668,27.43K,-0.29%
01/18/2021,4.8747,4.8745,4.8807,4.8656,31.58K,0.07%
01/19/2021,4.8719,4.8781,4.8865,4.8714,34.93K,-0.06%
01/20/2021,4.8792,4.8752,4.8835,4.8727,40.33K,0.15%
01/21/2021,4.8843,4.8813,4.8888,4.8742,34.22K,0.10%
01/22/2021,4.8773,4.8846,4.8886,4.8768,30.16K,-0.14%
01/25/2021,4.8798,4.8833,4.8883,4.8727,34.23K,0.05%
01/26/2021,4.8777,4.8818,4.8834,4.8681,34.11K,-0.04%
01/27/2021,4.8768,4.8799,4.8852,4.8678,40.67K,-0.02%
01/28/2021,4.8511,4.8787,4.8825,4.8482,42.65K,-0.53%
01/29/2021,4.8334,4.8520,4.8607,4.8340,43.05K,-0.36%
02/01/2021,4.8503,4.8375,4.8641,4.8307,38.81K,0.35%
02/02/2021,4.8429,4.8524,4.8604,4.8384,36.85K,-0.15%
02/03/2021,4.8435,4.8446,4.8548,4.8405,31.12K,0.01%
02/04/2021,4.8392,4.8464,4.8509,4.8337,27.23K,-0.09%
02/05/2021,4.8445,4.8414,4.8499,4.8320,24.09K,0.11%
02/08/2021,4.8334,4.8438,4.8506,4.8281,23.62K,-0.23%
02/09/2021,4.8514,4.8384,4.8546,4.8366,21.00K,0.37%
02/10/2021,4.8667,4.8514,4.8745,4.8486,23.13K,0.32%
02/11/2021,4.8700,4.8684,4.8801,4.8644,11.98K,0.07%
02/12/2021,4.8685,4.8743,4.8780,4.8616,10.52K,-0.03%
02/15/2021,4.8777,4.8762,4.8850,4.8688,7.84K,0.19%
02/16/2021,4.8608,4.8821,4.8892,4.8629,13.69K,-0.35%
02/17/2021,4.8568,4.8647,4.8675,4.8510,18.43K,-0.08%
02/18/2021,4.8902,4.8615,4.8929,4.8548,36.10K,0.69%
02/19/2021,4.8732,4.8914,4.8931,4.8697,33.78K,-0.35%
02/22/2021,4.8888,4.8761,4.8942,4.8742,39.94K,0.32%
02/23/2021,4.8951,4.8903,4.9018,4.8878,27.19K,0.13%
02/24/2021,4.8913,4.8968,4.9063,4.8794,22.48K,-0.08%
02/25/2021,4.8684,4.8930,4.9003,4.8641,34.05K,-0.47%
02/26/2021,4.8596,4.8696,4.8829,4.8534,44.59K,-0.18%
03/01/2021,4.8684,4.8614,4.8748,4.8489,94.11K,0.18%
03/02/2021,4.8626,4.8684,4.8727,4.8496,103.67K,-0.12%
03/03/2021,4.8526,4.8644,4.8697,4.8505,90.51K,-0.21%
03/04/2021,4.8369,4.8537,4.8646,4.8358,124.48K,-0.32%
03/05/2021,4.8395,4.8379,4.8477,4.8299,122.94K,0.05%
03/08/2021,4.8315,4.8406,4.8505,4.8281,144.06K,-0.17%
03/09/2021,4.8393,4.8340,4.8464,4.8271,85.35K,0.16%
03/10/2021,4.8386,4.8429,4.8485,4.8275,79.01K,-0.01%
03/11/2021,4.8468,4.8401,4.8501,4.8334,109.18K,0.17%
03/12/2021,4.8384,4.8481,4.8520,4.8278,107.17K,-0.17%
03/15/2021,4.8281,4.8392,4.8471,4.8250,68.61K,-0.21%
03/16/2021,4.8337,4.8312,4.8389,4.8248,104.95K,0.12%
03/17/2021,4.8515,4.8369,4.8555,4.8241,106.68K,0.37%
03/18/2021,4.8410,4.8537,4.8577,4.8366,115.09K,-0.22%
03/19/2021,4.8487,4.8419,4.8543,4.8326,97.08K,0.16%
03/22/2021,4.8531,4.8490,4.8596,4.8390,71.70K,0.09%
03/23/2021,4.8450,4.8534,4.8582,4.8411,103.74K,-0.17%
03/24/2021,4.8444,4.8476,4.8528,4.8388,110.59K,-0.01%
03/25/2021,4.8505,4.8468,4.8625,4.8425,87.05K,0.13%
03/26/2021,4.8608,4.8536,4.8667,4.8497,55.60K,0.21%
03/29/2021,4.8712,4.8630,4.8797,4.8547,21.90K,0.21%
03/30/2021,4.8740,4.8727,4.8815,4.8681,22.33K,0.06%
03/31/2021,4.8709,4.8756,4.8833,4.8674,23.09K,-0.06%
04/01/2021,4.8814,4.8712,4.8875,4.8689,52.94K,0.22%
04/02/2021,4.8764,4.8826,4.8875,4.8770,17.19K,-0.10%
04/05/2021,4.8917,4.8814,4.8973,4.8759,8.13K,0.31%
04/06/2021,4.8813,4.8945,4.9001,4.8802,42.02K,-0.21%
